muestra|Comuna|Fraccion|Radio|Manzana|relevamiento
10034|10|17|2|2|Listado
10024|10|18|5|2|Listado
10050|10|18|5|2|Locales
10024|10|19|3|2|Locales
10050|10|19|3|2|Listado
10027|11|1|1|2|Listado
10026|11|2|2|2|Locales
10024|11|3|1|2|Listado
10050|11|3|1|2|Listado
10017|11|4|3|2|Locales
10039|11|4|3|2|Listado
10024|11|5|1|2|Locales
10050|11|5|1|2|Listado
10017|11|6|5|2|Listado
10043|11|6|5|2|Listado
10017|11|7|1|2|Locales
10043|11|7|1|2|Listado
10024|11|8|1|2|Locales
10050|11|8|1|2|Locales
10024|11|9|1|2|Locales
